Response,Count
South Asian,22
East Asian,16
Middle Eastern,5
South East Asian,4
West European,4
South European,3
East European,2
North European,2
East African,2
South East European,2
West African,1
Latin American/Hispanic,1
Jamaican,1
North African,1
