Dream Job,HS Vs Uni,Coding Level,Internship Experience,HS Average,Fav Subject,Academic Programs,Extracurriculars,Part-Time Job,Grad Awards,HS Preparation
,,,,,,,DECA,,,
,,,,,,,Tutoring,,,
,,,,,,,Volunteering,,,
,,,,,,,Sports,,,
,,,,,,,Volunteering,,,
,,,,,,,Music ,,,
,,,,,,,Dance,,,
,,,,,,,Student Council,,,
,,,,,,,Non Profit Organization,,,
,,,,,,,Sports,,,
,,,,,,,Tutoring,,,
,,,,,,,Volunteering,,,
,,,,,,,Non Profit Organization,,,
,,,,,,,Tutoring,,,
,,,,,,,Robotics,,,
,,,,,,,Volunteering,,,
,,,,,,,Math Club,,,
,,,,,,,Science Club,,,
,,,,,,,Art Club,,,
,,,,,,,Trivia Club,,,
,,,,,,,Non Profit Organization,,,
,,,,,,,Tutoring,,,
,,,,,,,Volunteering,,,
,,,,,,,SHAD,,,
,,,,,,,Music,,,
,,,,,,,SHAD,,,
,,,,,,,Sports,,,
,,,,,,,Volunteering,,,
,,,,,,,DECA,,,
,,,,,,,Non Profit Organization,,,
,,,,,,,Volunteering,,,
,,,,,,,Tutoring,,,
,,,,,,,Student Council,,,
,,,,,,,Volunteering,,,
,,,,,,,Robotics,,,
,,,,,,,Sports,,,
,,,,,,,Tutoring,,,
,,,,,,,Tutoring,,,
,,,,,,,Volunteering,,,
,,,,,,,Volunteering,,,
,,,,,,,SHAD,,,
,,,,,,,Music,,,
,,,,,,,Student Council,,,
,,,,,,,Tutoring,,,
,,,,,,,Volunteering,,,
,,,,,,,Volunteering,,,
,,,,,,,Sports,,,
,,,,,,,Music,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,173,,,
