Response,Count
None,2
Snowfall,1
"some goofy ahh tiktok movies - temu quality, same plots but still had me in a chokehold",1
The Resident,1
when the phone rings,1
Suits,1
Squid Game,1
masterchef,1
Frieren,1
no show :(,1
When life gives you tangerines,1
Attack on Titan,1
Temptation island,1
N/A,1
Saiki K,1
When the phone rings,1
Andor,1
Vinland Saga,1
Cobra kai,1
