Response,Count
Drake,3
The Weeknd,2
Tyler,1
Forrest Frank,1
oasis,1
Eloise,1
gracie abrams,1
Vaundy,1
Tate Mcrae,1
Bryson Tiller,1
Gracie Abrams,1
drake,1
Tame Impala,1
Keshi,1
Weeknd,1
Sabrina Carpenter,1
d4vd,1
Radiohead,1
Frank Ocean,1
Lana Del Rey,1
Gracie abrams,1
Kendrick Lamar,1
Metro booming,1
