Response,Count
E7/E5,12
QNC,5
STC,2
TC,2
DP,2
Residence,2
SLC,2
henry water's apartment >_<,1
E2,1
DC,1
EV3,1
CMH Great Hall,1
SJU Library,1
DWE,1
