Role,Count
Business Analyst,3
Consultant,2
Customer Success,1
Data Analyst,3
Data Scientist,1
E-Learning Development Intern,1
Engineering Student,1
Machine Learning Engineer,2
Operations Analyst,2
Product Designer,2
Product/Project Manager,4
Supply Chain Analyst,2
SWE,5
Technical Implementation and Specialist Support,1
