Response,Count
"Volunteering",36
"Sports",27
"Tutoring",23
"Non Profit Organization",16
"Student Council",15
"Music",13
"DECA",11
"SHAD",8
"Robotics",7
"Drama",4
"Visual Arts",3
"Small Business",1
"MUN",1
"Chess Club",1
"MSA",1
"Asian Heritage Club",1
"Dance",1
"Math Club",1
"Science Club",1
"Art Club",1
"Trivia Club",1
